Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
Snake;1019;3.95;1.96;5.77;1.83;12
Snake;1022;4.26;2.04;6.02;1.97;12
Snake;1026;4.09;1.91;5.61;2.23;16
Snake;1030;4.3;2.35;5.46;2.43;1
Snake;1033;3.87;1.94;6.13;2.15;18
Snake;1040;3.99;2.24;6.25;2.13;1
Snake;1050;3.46;2.15;6.87;1.68;6
Snake;1051;3.8;1.75;5.95;1.98;12
Snake;1052;3.5;1.87;6.52;2.23;11
Snake;1070;3.96;2.3;6.16;2.08;1
Snake;1080;4.24;2.08;5.69;2.28;1
Snake;1090;3.7;1.9;5.88;2.15;2
Snake;1101;4.1;1.85;5.83;2.25;11
Snake;1110;3.84;1.89;5.96;2.16;2
Snakes;1111;3.25;1.64;5.2;2.25;7
Snake;1112;4.71;1.7;4.6;2.44;8
Snake;1113;3.81;1.75;6.06;2.12;8
Snake;1114;4.03;2.16;6.33;2.17;14
Snake;1120;3.79;1.93;6.93;1.68;3
Lizard;1121;5.79;1.61;4.83;1.98;11
Lizard;1122;5.15;1.71;4.32;2.16;18
Spider;1200;3.95;2.22;6.03;2.38;1
Spider;1201;3.55;1.88;6.36;2.11;7
Spider;1202;3.35;1.77;5.94;2.17;20
Spider;1205;3.65;1.76;5.79;2.18;14
Spider;1220;3.47;1.82;5.57;2.34;1
Spider;1230;4.09;1.63;4.85;2.25;1
Spider;1230;4.61;1.74;4.03;2.41;2
Spider;1240;4.22;1.94;4.92;2.17;1
Roach;1270;3.68;1.85;4.77;2.44;4
Roaches;1271;3.19;1.64;5.37;2.44;19
Roaches;1274;3.17;1.53;5.39;2.39;5
Roaches;1275;3.3;1.65;4.81;2.22;6
Rat;1280;3.66;1.75;4.93;2.01;4
PitBull;1300;3.55;1.78;6.79;1.84;3
Dog;1301;3.7;1.66;5.77;2.18;8
Dog;1302;4.21;1.78;6;1.87;7
Dog;1303;4.68;2.11;5.7;2.04;11
AttackDog;1304;3.37;1.58;6.37;1.93;17
Leopard;1310;4.6;1.62;6;1.8;3
Frog;1313;5.65;1.47;4.39;2.03;11
Bear;1321;4.32;1.87;6.64;1.89;12
Parrots;1333;6.11;1.5;3.17;1.97;13
Women;1340;7.13;1.57;4.75;2.31;11
Pig;1350;5.25;1.96;4.37;1.76;20
Bees;1390;4.5;1.56;5.29;1.97;3
Ferret;1410;7;1.45;4.17;2.02;18
Birds;1419;6.54;1.45;3.48;1.95;13
Seal;1440;8.19;1.53;4.61;2.54;6
PolarBears;1441;7.97;1.28;3.94;2.38;15
Gannet;1450;6.37;1.62;2.83;1.87;1
Kitten;1460;8.21;1.21;4.31;2.63;5
Kittens;1463;7.45;1.76;4.79;2.19;8
Dog;1500;7.24;1.88;4.12;2.5;1
DogRace;1505;4.13;1.66;4.73;1.83;17
Dog;1510;7.01;2.07;4.28;2.47;1
AttackDog;1525;3.09;1.72;6.51;2.25;13
Cat;1540;7.15;1.96;4.54;2.35;1
Hawk;1560;5.97;2.32;5.51;2.19;1
Horse;1590;7.18;1.64;4.74;2.13;2
Horse;1590;7.24;1.45;4.8;2.1;3
Pony;1595;6.22;1.64;4.79;2.09;19
Horse;1600;7.37;1.56;4.05;2.37;1
Giraffes;1601;6.86;1.51;3.92;2.07;8
Butterfly;1602;6.5;1.64;3.43;1.96;8
Butterfly;1603;6.9;1.48;3.37;2.2;10
Butterfly;1604;7.11;1.41;3.3;2.17;9
Butterfly;1605;6.59;1.56;3.43;2.02;19
Rabbit;1610;7.82;1.34;3.08;2.19;1
Rabbit;1610;7.69;1.34;3.98;2.4;2
Bird;1616;5.21;1.12;3.95;1.95;11
Mole;1617;4.23;1.68;5.34;2.41;16
Antelope;1620;7.37;1.56;3.54;2.34;1
Fawn;1630;7.26;1.48;4.45;2.45;20
Coyote;1640;6.27;2.22;5.13;2.2;1
Coyote;1640;6.16;1.88;5.18;1.93;2
Wolf;1645;4.99;1.64;5.14;1.99;18
Jaguar;1650;6.65;2.25;6.23;1.99;1
Gorilla;1659;6.57;1.98;4.89;1.97;20
Gorilla;1660;6.49;1.89;4.57;2.39;1
Orangutan;1661;6.14;1.56;4.05;2.05;14
Cow;1670;6.81;1.76;3.05;1.91;1
Cow;1670;5.82;1.63;3.33;1.98;2
Buffalo;1675;5.24;1.48;4.37;2.15;15
Puppies;1710;8.34;1.12;5.41;2.34;3
